stock_code,trade_time,main_net_inflow,max_net_inflow,lg_net_inflow,mid_net_inflow,sm_net_inflow,processed_time
000001,2025-03-05 15:00:00,196392730.0,182941028.0,13451702.0,-112132290.0,-84260411.0,2025-03-05 16:25:33
600000,2025-03-05 15:00:00,12463349.0,-11735561.0,24198910.0,-20720583.0,8257239.0,2025-03-05 16:25:35
000002,2025-03-05 15:00:00,-97506560.0,-47637475.0,-49869085.0,19594639.0,77911927.0,2025-03-05 16:25:37
600036,2025-03-05 15:00:00,239051729.0,236489475.0,2562254.0,-313063815.0,74012097.0,2025-03-05 16:25:39
000333,2025-03-05 15:00:00,130989530.0,144331512.0,-13341982.0,-220586128.0,89596597.0,2025-03-05 16:25:41
